prestashop_product_id,shobi_code,inspired_by,fragrantica_id,fragrantica_url,image_url,local_path,status,detail
2230,155-PARF,LAYTON EXCLUSIF - PARFUMS DE MARLY,46633,https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-Exclusif-46633.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46633.avif,perfume-images/46633.avif,DOWNLOADED,image/avif
2058,141-MAN,BLACK VANILLA - MANCERA,46662,https://www.fragrantica.com/perfume/Mancera/Black-Vanilla-46662.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46662.avif,perfume-images/46662.avif,DOWNLOADED,image/avif
2109,143-MAN,RED TOBACCO - MANCERA,46663,https://www.fragrantica.com/perfume/Mancera/Red-Tobacco-46663.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46663.avif,perfume-images/46663.avif,DOWNLOADED,image/avif
3485,,Β683 - MARC ANTOINE BARROIS,46802,https://www.fragrantica.com/perfume/Marc-Antoine-Barrois/B683-46802.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46802.avif,perfume-images/46802.avif,DOWNLOADED,image/avif
941,905-SFER,amo ferragamo,46832,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Amo-Ferragamo-46832.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46832.avif,perfume-images/46832.avif,DOWNLOADED,image/avif
1890,834-MOS,So Real Cheap & Chic Moschino,46867,https://www.fragrantica.com/perfume/Moschino/So-Real-Cheap-Chic-46867.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46867.avif,perfume-images/46867.avif,DOWNLOADED,image/avif
4425,2598-GLO,You Glossier,46885,https://www.fragrantica.com/perfume/Glossier/You-46885.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46885.avif,perfume-images/46885.avif,DOWNLOADED,image/avif
694,610-ESC,SORBETTO ROSSO - ESCADA,47255,https://www.fragrantica.com/p/47255,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.47255.avif,perfume-images/47255.avif,DOWNLOADED,image/avif
2327,1615-FRE,PROMISE,47332,https://www.fragrantica.com/perfume/Frederic-Malle/Promise-47332.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.47332.avif,perfume-images/47332.avif,DOWNLOADED,image/avif
3921,1532-ROJ,elysium pour homme parfum roja dove,47480,https://www.fragrantica.com/perfume/Roja-Dove/Elysium-Pour-Homme-Parfum-47480.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.47480.avif,perfume-images/47480.avif,DOWNLOADED,image/avif
3960,2303-EXN,FRENCH AFFAIR - EX NIHILO,47569,https://www.fragrantica.com/perfume/Ex-Nihilo/French-Affair-47569.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.47569.avif,perfume-images/47569.avif,DOWNLOADED,image/avif
3954,2304-YZLO,6 PLACE SAINT SULPICE,47737,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/6-place-Saint-Sulpice-47737.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.47737.avif,perfume-images/47737.avif,DOWNLOADED,image/avif
2655,1794-ISS,L'Eau d'Issey Pure Nectar,47780,https://www.fragrantica.com/p/47780,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.47780.avif,perfume-images/47780.avif,DOWNLOADED,image/avif
2798,1885-WID,LONDON - WIDIAN,47781,https://www.fragrantica.com/perfume/Widian/Widian-London-47781.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.47781.avif,perfume-images/47781.avif,DOWNLOADED,image/avif
4230,2504-JUL,Moscow Mule Juliette Has A Gun,47872,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Moscow-Mule-47872.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.47872.avif,perfume-images/47872.avif,DOWNLOADED,image/avif
3492,2100-MARG,SAILING DAY,47891,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Sailing-Day-47891.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.47891.avif,perfume-images/47891.avif,DOWNLOADED,image/avif
3370,1989-VERT,NARCOS'IS,47923,https://www.fragrantica.com/perfume/Vertus/Narcos-is-47923.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.47923.avif,perfume-images/47923.avif,DOWNLOADED,image/avif
