prestashop_product_id,shobi_code,inspired_by,original_brand,original_perfume,identity_status,fragrantica_status,fragrantica_id,fragrantica_url,social_card_url,local_path,card_status,bytes,sha256,error
4230,2504-JUL,Moscow Mule Juliette Has A Gun,Juliette Has a Gun,Moscow Mule,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4229,2505-JACFAT,Curacao Bay Jacques Fath,Jacques Fath,Curacao-bay,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4228,2511-CHA,Comete,Chanel,Comete,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4227,2506-XER,MUSE,Xerjoff,Muse,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4226,2512-BRB,GODDESS INTENSE BURBERRY,Burberry,Goddess-eau-de-parfum-intense,CONFIRMED,FOUND,109082,https://www.fragrantica.com/perfume/Burberry/Goddess-Parfum-109082.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_109082.jpeg,fragrantica-scraper-archive/social-cards/images/4226_2512-BRB_109082.jpeg,EXISTS,105883,e9064d5f600bcfb0d8a35eb208201c360336cfab68db2e349c27fa7411835a00,
4224,2515-LAN,LA VIE EST BELLE L'ELIXIR,Lancome,LA VIE EST BELLE L'ELIXIR,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4223,2501-LOE,AGUA MIAMI LOEWE,Loewe,Agua Miami,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4222,2500-BRB,Baby Touch Burberry,Burberry,Baby Touch,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4221,2475-DIP,TEMPO DIP,Diptyque,Tempo,CONFIRMED,FOUND,48680,https://www.fragrantica.com/perfume/Diptyque/Tempo-Eau-de-Parfum-48680.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_48680.jpeg,fragrantica-scraper-archive/social-cards/images/4221_2475-DIP_48680.jpeg,EXISTS,122800,e94503c0aac347d2398750d5a09c800be76b9fb3557ee8df95d81caf0356c72f,
4220,2484-ETLR,THE AFTERNOON OF A FAUN by ETAT LIBRE D'ORANGE,Etat Libre d Orange,THE AFTERNOON OF A FAUN by ETAT LIBRE D'ORANGE,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4219,2495-ETLR,I AM TRASH - LES FLEURS DU DECHET by ETAT LIBRE D'ORANGE,Etat Libre d Orange,I AM TRASH - LES FLEURS DU DECHET by ETAT LIBRE D'ORANGE,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4218,2496-SERG,LA RELIGIEUSE by SERGE LUTENS,Serge Lutens,LA RELIGIEUSE by SERGE LUTENS,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
