prestashop_product_id,shobi_code,fragrantica_id,gender,gender_source,gender_ocr_text,winter,spring,summer,fall,main_season,season_confidence,season_margin,local_path
197,1106-DAV,590,,OCR_UNRESOLVED,zino davidolt a davidoff aorta formen main accords x yt zino davidot cn davidoff oitire i formen main accords yt,0.4000,0.2362,0.1074,0.3875,TIE,TIE,0.0125,fragrantica-scraper-archive/social-cards/images/197_1106-DAV_590.jpeg
196,1105-DAV,28801,,OCR_UNRESOLVED,the brilliant game davidoff sega formen main accords l wut the brilliant game davidoff formen timi ul main accords winn all u wu tr fy,0.3963,0.1993,0.1074,0.3764,TIE,TIE,0.0199,fragrantica-scraper-archive/social-cards/images/196_1105-DAV_28801.jpeg
184,1089-COM,8991,,OCR_UNRESOLVED,onderwood oe fee comme des garcons seas formen main accords fy i to a aie wonderwood rt aa rah comme des garcons formen main accords,0.3556,0.2362,0.1074,0.4649,fall,HIGH,0.1094,fragrantica-scraper-archive/social-cards/images/184_1089-COM_8991.jpeg
181,1085-DRC,31861,,OCR_UNRESOLVED,sauvage dior ae formen fi main accords fy sauvage dior see formen main accords ess,0.2037,0.2989,0.3481,0.2878,summer,MEDIUM,0.0493,fragrantica-scraper-archive/social-cards/images/181_1085-DRC_31861.jpeg
179,1083-DRC,86301,,OCR_UNRESOLVED,intense homme the dua brand ees formen uy main accords tol intense homme the dua brand oes pine formen main accords,0.4185,0.2362,0.1074,0.3875,winter,MEDIUM,0.0311,fragrantica-scraper-archive/social-cards/images/179_1083-DRC_86301.jpeg
178,1082-DRC,4033,,OCR_UNRESOLVED,dior homme sport dior eae formen main accords sb ee ta dior homme sport dior fet formen main accords citrus i dy,0.1259,0.3653,0.4963,0.1771,summer,HIGH,0.1310,fragrantica-scraper-archive/social-cards/images/178_1082-DRC_4033.jpeg
176,1080-DRC,230,,OCR_UNRESOLVED,dior homme dior rte formen main accords po s fs ta et dior homme dior oye formen main accords po,0.3741,0.2435,0.1074,0.3875,TIE,TIE,0.0134,fragrantica-scraper-archive/social-cards/images/176_1080-DRC_230.jpeg
172,,228,,OCR_UNRESOLVED,fanrenheit dior sae formen main accords a kahrennelit ae ar car fi dior formen main accords leather,0.4000,0.2362,0.1074,0.3764,winter,MEDIUM,0.0236,fragrantica-scraper-archive/social-cards/images/172_unknown_228.jpeg
162,1065-CHA,607,,OCR_UNRESOLVED,pial re allure homme sport pear eee chanel sae formen main accords ie citrus fy ete the allure homme sport chanel oop dose formen main accords in citrus fy,0.1259,0.3875,0.4704,0.1771,summer,MEDIUM,0.0829,fragrantica-scraper-archive/social-cards/images/162_1065-CHA_607.jpeg
156,1059-CRT,307,,OCR_UNRESOLVED,baayen en declaration cartier saati formen fey main accords d sox a j a declaration cartier aie formen main accords a,0.1926,0.3875,0.2741,0.3616,spring,MEDIUM,0.0258,fragrantica-scraper-archive/social-cards/images/156_1059-CRT_307.jpeg
