prestashop_product_id,shobi_code,fragrantica_id,gender,gender_source,gender_ocr_text,winter,spring,summer,fall,main_season,season_confidence,season_margin,local_path,actual_longest,actual_longest_value,runner_up,runner_up_value,actual_margin
2326,323-NAS,4291,male,SOCIAL_CARD_OCR,duro eee daas nasomatto aapenmeaes for men main accords ee duro ni a brie nasomatto i for men main accords,0.4185,0.1771,0.1074,0.4244,TIE,TIE,0.0058,fragrantica-scraper-archive/social-cards/images/2326_323-NAS_4291.jpeg,fall,0.4244,winter,0.4185,0.0059
2325,1612-LTN,40499,female,SOCIAL_CARD_OCR,peep oi turbulences louis vuitton ais for women main accords white floral a er ims ed lurbulences louis vuitton for women main accords white floral,0.3370,0.3653,0.2741,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/2325_1612-LTN_40499.jpeg,spring,0.3653,fall,0.3616,0.0037
2316,1552-VER,13064,female,SOCIAL_CARD_OCR,yellow diamond aes versace sr oeaes for women main accords truss ig ey at ns at i f a parked ee rd yellow diamond an eg cera al versace med for women main accords citrus if ee,0.1259,0.4576,0.4704,0.1587,TIE,TIE,0.0128,fragrantica-scraper-archive/social-cards/images/2316_1552-VER_13064.jpeg,summer,0.4704,spring,0.4576,0.0128
2311,1477-HER,65147,,OCR_UNRESOLVED,ack ws cerca at ee a fete coe tare hermes gareeeree formen ht main accords y z hi hermes bae a formen main accords a,0.1259,0.3985,0.3815,0.2103,TIE,TIE,0.0170,fragrantica-scraper-archive/social-cards/images/2311_1477-HER_65147.jpeg,spring,0.3985,summer,0.3815,0.0170
2306,1514-KIL,14329,unisex,SOCIAL_CARD_OCR,water calligraphy by kilian see ae for women and men ss main accords water calligraphy ae for women and men by kilian main accords fem,0.1259,0.5018,0.4852,0.1439,TIE,TIE,0.0167,fragrantica-scraper-archive/social-cards/images/2306_1514-KIL_14329.jpeg,spring,0.5018,summer,0.4852,0.0166
2305,1498-BYR,3575,unisex,SOCIAL_CARD_OCR,gypsy water bowe we ates by red o eae ee for women and men main accords woody dy gypsy water ey ie byredo for women and men main accords,0.1370,0.3432,0.3481,0.2878,TIE,TIE,0.0050,fragrantica-scraper-archive/social-cards/images/2305_1498-BYR_3575.jpeg,summer,0.3481,spring,0.3432,0.0049
2296,1535-BOA,18518,unisex,SOCIAL_CARD_OCR,blue sapphire boadicea the victorious pate agg es for women and men ww main accords oy blue sapphire boadicea the victorious for women and men main accords oy a,0.3556,0.3653,0.1222,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/2296_1535-BOA_18518.jpeg,spring,0.3653,fall,0.3616,0.0037
2295,1536-BOA,55770,female,SOCIAL_CARD_OCR,sripreouttel herome of boadicea the victorious sp aneat for women main accords il powdery heroime ae boadicea the victorious for women az a main accords powdery i,0.2037,0.3653,0.3481,0.2878,TIE,TIE,0.0172,fragrantica-scraper-archive/social-cards/images/2295_1536-BOA_55770.jpeg,spring,0.3653,summer,0.3481,0.0172
2287,1484-VAL,55963,,OCR_UNRESOLVED,valentino uomo born in koma valentine a een main accords valentino uomo born in roma re ea valentino formen main accords ss,0.1370,0.3432,0.3481,0.2878,TIE,TIE,0.0050,fragrantica-scraper-archive/social-cards/images/2287_1484-VAL_55963.jpeg,summer,0.3481,spring,0.3432,0.0049
2285,1488-LBI,629,,OCR_UNRESOLVED,roma uomo laura biagiotti eee formen main accords citrus fy homa uomo laura biagiotti ce formen main accords citrus,0.2000,0.3653,0.2741,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/2285_1488-LBI_629.jpeg,spring,0.3653,fall,0.3616,0.0037
