prestashop_product_id,shobi_code,original_brand,original_perfume,old_fragrantica_id,new_fragrantica_id,fragrantica_url,result,providers,note
4343,2590-BYRP,Byron Parfums,Mula-mula-rouge-extreme,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4342,2589-BYRP,Byron Parfums,Mula-mula-double-caramel,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4341,2588-BLG,Bvlgari,Le Gemme  Onekh,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4340,2568-GIV,Givenchy,L-interdit-eau-de-parfum-rouge-ultime,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4339,2566-VER,Versace,Eros-energy,,92647,https://www.fragrantica.com/perfume/Versace/Eros-Energy-92647.html,FOUND,bing-rss:1|ddg-html:ERR:URLError|bing:0,accepted score=1.000 margin=1.000
4338,2565-GUC,Gucci,Guilty-elixir-de-parfum-pour-homme,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4337,2561-SOM,somens,Capriccio,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4336,2551-PAR,paris-corner,Khair-fusion-eau-de-,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4333,2544-ACQ,Acqua di Parma,Magnolia Nobile,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4332,2543-HUG,Hugo Boss,The-scent-magnetic-for-him,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4331,2527-GUR,Guerlain,Angelique Noire,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4330,2525-CAR,Carolina Herrera,Good-girl-eau-de-parfum-supreme,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4329,2523-KIL,Kilian,Sacred Wood,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4328,2548-RIT,Rituals,Hammam Rituals,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4327,2547-KUR,Maison Francis Kurkdjian,Aqua Universalis Eau de Toilette,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4326,2516-GUL,Jean Paul Gaultier,Scandal-pour-homme-absolu,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4325,2510-ONE,One Direction,Our-moment-eau-de-,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4324,2508-DRC,Dior,Gris,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4323,2502-MATIE,matiere-premiere,Parisian-musc,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4322,2498-TOUZ,Tous,Baby Tous,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4321,2487-PEN,Penhaligons,Terrible-teddy,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4305,1194-KIL,Kilian,Gold Knight,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4304,2380-CAR,Carolina Herrera,Very-good-girl-glam,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4303,2526-KAY,Kayali,Capri in a Bottle Lemon Sugar | 14 Eau de Parfum by Kayali Fragrances,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4289,2524-KAY,Kayali,Marrakesh in a Bottle Orange Blossom 24,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4288,2559-LAT,Lattafa,Ra'ed Silver Lattafa Perfumes,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4286,2554-JOM,Jo Malone,Orange-marmalade-orange-peel,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4285,2556-LAT,Lattafa,Yara Moi Lattafa Perfumes,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4284,2557-ARIA,Ariana Grande,God-is-a-woman-eau-de-,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4283,2567-SOL,Sol de Janeiro,Cheirosa-71,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4281,2546-MEM,memo-paris,Moroccan-leather,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4280,2545-MEM,memo-paris,Kedu-sesame,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4279,2536-PRA,Prada,Paradoxe-virtual-flower,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4278,2569-GOLD,Goldfield & Banks,Ingenious Ginger Goldfield & Banks Australia,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4277,2571-GOLD,Goldfield & Banks,Silky Woods Goldfield & Banks Australia,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4274,2563-TMFO,Tom Ford,Rose-exposed,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4273,2558-LAT,Lattafa,Bade'e Al Oud Sublime Lattafa Perfumes,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4272,2570-JOM,Jo Malone,English-pear-sweet-pea-,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4270,2550-ARM,Giorgio Armani,Emporio-armani-stronger-with-you-tobacco,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4269,2549-MARC,Marc Antoine Barrois,Tilia,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4264,2534-ARM,Giorgio Armani,Sensi,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4263,2564-NRO,Narciso Rodriguez,For-her-musc-nude,,,,UNRESOLVED,bing-rss:1|ddg-html:ERR:URLError|bing:0,weak best=0.367 brand=1.000 perfume=0.000 second=0.000
4262,2485-ETLR,Etat Libre d Orange,The-ghost-in-the-shell-1,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4261,2528-JER,Jeroboam,Gozo,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4260,2542-FUR,Furla,Autentica Furla for women,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4259,2531-CAR,Carolina Herrera,Bad-boy-cobalt-elixir,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
