prestashop_product_id,shobi_code,brand,perfume,inspired_by,reference,shobi_url,fragrantica_id,gender,season,main_notes,status,source
1136,186-ARM,,,AMBRE SOIE,,https://leparfum.com.gr/en/elegants-fragrances/186-arm-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1138,187-ARM,,,BOIS D'ENCENS,,https://leparfum.com.gr/en/elegants-fragrances/187-arm-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1139,188-ARM,,,CUIR AMETHYSTE,,https://leparfum.com.gr/en/elegants-fragrances/188-arm-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1140,189-ARM,,,CUIR NOIR,,https://leparfum.com.gr/en/elegants-fragrances/189-arm-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2731,190-ARM,,,PIVOINE SUZHOU,,https://leparfum.com.gr/en/elegants-fragrances/190-arm-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2733,191-ARM,,,ROSE ALEXANDRIE,,https://leparfum.com.gr/en/elegants-fragrances/191-arm-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1137,192-ARM,,,ROUGE MALACHITE,,https://leparfum.com.gr/en/elegants-fragrances/192-arm-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1142,193-ARM,,,ROYAL OUD,,https://leparfum.com.gr/en/elegants-fragrances/193-arm-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2732,194-ARM,,,THE YULONG,,https://leparfum.com.gr/en/elegants-fragrances/194-arm-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1806,195-ARM,,,Vert Malachite,,https://leparfum.com.gr/en/elegants-fragrances/195-arm-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
