prestashop_product_id,shobi_code,old_inspired_by,recovered_inspired_by,source,url
2285,1488-LBI,,roma uomo laura biagiotti,url_slug,https://leparfum.com.gr/en/fragrances-for-men/roma-uomo-laura-biagiotti-type-perfume
2283,1483-DSQ,,potion dsquared,url_slug,https://leparfum.com.gr/en/fragrances-for-men/potion-dsquared-perfume
2271,,,mukhallat al emirates al haramain original,url_slug,https://leparfum.com.gr/en/niche-perfumes/mukhallat-al-emirates-al-haramain-original-perfume
2218,826-MIS,,babe power missguided,url_slug,https://leparfum.com.gr/en/fragrances-for-women/babe-power-missguided-perfume-type
2217,1217-MONT,,montana homme montana,url_slug,https://leparfum.com.gr/en/fragrances-for-men/montana-homme-montana-type-perfume
2216,609-ESC,,sentiment escada,url_slug,https://leparfum.com.gr/en/fragrances-for-women/sentiment-escada-perfume-type
2210,803-LAU,,eau gourmande ambre vanille laura mercier,url_slug,https://leparfum.com.gr/en/fragrances-for-women/eau-gourmande-ambre-vanille-laura-mercier-perfume-type
2114,306-LAN,,306 lan el,url_slug,https://leparfum.com.gr/en/elegants-fragrances/306-lan-el
2111,,,red african al haramain perfumes original,url_slug,https://leparfum.com.gr/en/niche-perfumes/red-african-al-haramain-perfumes-original
2105,383-YAN,,wedding day yankee,url_slug,https://leparfum.com.gr/en/fragrances-for-women/wedding-day-yankee-perfume-type
2099,1205-LOL,,au masculin lolita lempicka,url_slug,https://leparfum.com.gr/en/fragrances-for-men/au-masculin-lolita-lempicka-type
1945,385-YAR,,lily of the valley yardley,url_slug,https://leparfum.com.gr/en/elegants-fragrances/lily-of-the-valley-yardley-type
1936,589-ELI,,girl of now elie saab,url_slug,https://leparfum.com.gr/en/fragrances-for-women/girl-of-now-elie-saab-type
1935,1088-COM,,odeur 53 comme des garcons,url_slug,https://leparfum.com.gr/en/fragrances-for-men/odeur-53-comme-des-garcons-type
1932,608-ESC,,moon sparkle escada,url_slug,https://leparfum.com.gr/en/fragrances-for-women/moon-sparkle-escada-type
1923,173-SOS,,accento sospiro perfumes u,url_slug,https://leparfum.com.gr/en/niche-perfumes/accento-sospiro-perfumes-u-type
1918,1236-PAL,,minotaure paloma picasso,url_slug,https://leparfum.com.gr/en/fragrances-for-men/minotaure-paloma-picasso-type
1915,808-LOL,,sweet lolita lempicka,url_slug,https://leparfum.com.gr/en/fragrances-for-women/sweet-lolita-lempicka-type
1914,1201-LBI,,venezia uomo laura biagiotti,url_slug,https://leparfum.com.gr/en/fragrances-for-men/venezia-uomo-laura-biagiotti-type
1913,802-LBI,,venezia laura biagiotti aroma,url_slug,https://leparfum.com.gr/en/fragrances-for-women/venezia-laura-biagiotti-aroma
1911,775-LAL,,perles de lalique lalique,url_slug,https://leparfum.com.gr/en/fragrances-for-women/perles-de-lalique-lalique-type
1910,740-JUI,,viva la juicy luxe parfum juicy couture,url_slug,https://leparfum.com.gr/en/fragrances-for-women/viva-la-juicy-luxe-parfum-juicy-couture-type
1909,318-MNT,,318 mnt el,url_slug,https://leparfum.com.gr/en/elegants-fragrances/318-mnt-el-perfume
