prestashop_product_id,shobi_code,shobi_name,reference,reference_prefix,inspired_by,category,price_from_eur,official_description,url,first_seen,last_seen,status,classification_rule,source
4329,2523-KIL,2523-KIL EL,EL410,EL,Sacred Wood - Kilian,Elegants Fragrances,10.0,"2523-KIL Inspired by the fragrance notes of Sacred Wood - Kilian. A rich, smoky and deeply woody fragrance inspired by sacred ceremonial forests — warm incense, exotic woods, and resinous amber create an elegant, meditative scent with depth and spirituality.",https://leparfum.com.gr/en/elegants-fragrances/2523-kil-el,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4328,2548-RIT,2548-RIT EL,EL409,EL,Hammam Rituals,Elegants Fragrances,10.0,Inspired by the fragrance notes of Hammam Rituals. Perfume of eucalyptus and rosemary.,https://leparfum.com.gr/en/elegants-fragrances/Hammam-Rituals,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4327,2547-KUR,2547-KUR N,AR477,AR,Aqua Universalis,Niche Perfumes,15.0,"Inspired by the fragrance notes of Aqua Universalis. Unisex perfume citrus, white floral, fresh, musky, aromatic, green.",https://leparfum.com.gr/en/niche-perfumes/Aqua-Universalis,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4326,2516-GUL,2516-GUL M,MP378,MP,Scandal Pour Homme Absolu,Fragrances For Men,9.0,"2516-GUL M Inspired by the fragrance notes of Scandal Pour Homme Absolu. Men's fragrance woody, fruity, warm spicy, nutty, balsamic, sweet, powdery, fresh, amber.",https://leparfum.com.gr/en/fragrances-for-men/2516-gul-m,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4325,2510-ONE,2510-ONE W,WP835,WP,Our Moment One Direction,Fragrances For Women,9.0,"2510-ONE W Inspired by the fragrance notes of Our Moment One Direction. Unisex perfume fruity, woody, floral, citrus, soft spicy, musky, sour, fresh, tropical.",https://leparfum.com.gr/en/fragrances-for-women/2510-one-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4324,2508-DRC,2508-DRC N,AR476,AR,Gris,Niche Perfumes,15.0,"2508-DRC N. Inspired by the fragrance notes of Gris. Unisex perfume woody, earthy, mossy, rose, patchouli, citrus, warm spicy, amber, powdery.",https://leparfum.com.gr/en/niche-perfumes/2508-drc-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4323,2502-MATIE,2502-MATIE N,AR475,AR,Parisian Musc Matiere Premiere,Niche Perfumes,15.0,"Inspired by the fragrance notes of Parisian Musc Matiere Premiere. Unisex perfume musky, amber, woody, floral, powdery.",https://leparfum.com.gr/en/niche-perfumes/Musc-Matiere-Premiere-dupe,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4322,2498-TOUZ,2498-TOUZ W,WP834,WP,Baby Tous,Fragrances For Women,9.0,"2498-TOUZ W Inspired by the fragrance notes of Baby Tous. Unisex perfume citrus, fruity, white floral, musky, green, sweet, fresh, powdery.",https://leparfum.com.gr/en/fragrances-for-women/2498-touz-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4321,2487-PEN,2487-PEN N,AR474,AR,Terrible Teddy,Niche Perfumes,15.0,"2487-PEN Inspired by the fragrance notes of Terrible Teddy. Men's perfume amber, smoky, leather, musky, balsamic, animalic.",https://leparfum.com.gr/en/niche-perfumes/2487-pen-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4305,1194-KIL,1194-KIL N,AR473,AR,Gold Knight Kilian,Niche Perfumes,15.0,"1194-KIL N Inspired by the fragrance notes of Gold Knight Kilian. Men's perfume honey, sweet, anis, soft spicy, vanilla, floral, patchouli, woody.",https://leparfum.com.gr/en/niche-perfumes/1194-kil-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4304,2380-CAR,2380-CAR W,WP833,WP,Very Good Girl Glam,Fragrances For Women,9.0,"2380-CAR W Inspired by the fragrance notes of Very Good Girl Glam. Women's perfume sweet, almond, cherry, rose, nutty, vanilla, fruity.",https://leparfum.com.gr/en/fragrances-for-women/2380-car-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4303,2526-KAY,2526-KAY EL,EL408,EL,Capri in a Bottle Lemon Sugar | 14 Eau de Parfum by Kayali Fragrances,Elegants Fragrances,10.0,"2526-KAY EL Inspired by the fragrance notes of Capri in a Bottle Lemon Sugar | 14 Eau de Parfum by Kayali Fragrances. Woman perfume sweet, vanilla, citrus, fruity, powdery, musky.",https://leparfum.com.gr/en/elegants-fragrances/2526-kay-el,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4289,2524-KAY,2524-KAY EL,EL407,EL,Marrakesh in a Bottle Orange Blossom Kayali Fragrances,Elegants Fragrances,10.0,"2524-KAY EL Inspired by the fragrance notes of Marrakesh in a Bottle Orange Blossom Kayali Fragrances. Woman perfume white floral, citrus, rose, woody, sweet, soft spicy, floral.",https://leparfum.com.gr/en/elegants-fragrances/2524-kay-el,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
