prestashop_product_id,shobi_code,inspired_by,code_suffix,inferred_brand,status,match_type,score,candidate_count,fragrantica_brand,fragrantica_perfume,fragrantica_id,fragrantica_url,note
872,828-MIY,L’Eau Bleue Miu Miu,MIY,,NOT_FOUND,,,0,,,,,
871,827-MISN,MISSONI - MISSONI,MISN,,NOT_FOUND,,,0,,,,,
864,819-MIC,SEXY AMBER - KORS,MIC,Michael Kors,NOT_FOUND,,,0,,,,,
847,800-LANV,LANVIN ME,LANV,,NOT_FOUND,,,0,,,,,
846,799-LANV,ECLAT D'ARPEGE,LANV,,NOT_FOUND,,,0,,,,,
827,772-LAD,fame lady gaga similar parfum,LAD,,NOT_FOUND,,,0,,,,,
826,771-LAP,silver rain la prairie,LAP,,NOT_FOUND,,,0,,,,,
825,770-LAP,midnight rain la prairie,LAP,,NOT_FOUND,,,0,,,,,
808,746-KAR,ocean view karl lagerfeld,KAR,,NOT_FOUND,,,0,,,,,
807,745-KAR,karl lagerfeld for her,KAR,,NOT_FOUND,,,0,,,,,
806,744-JUS,the key justin bieber,JUS,,NOT_FOUND,,,0,,,,,
805,743-JUS,girlfriend justin bieber,JUS,,NOT_FOUND,,,0,,,,,
804,742-JUI,viva la juicy sucre couture,JUI,,NOT_FOUND,,,0,,,,,
803,741-JUI,viva la juicy rose couture,JUI,,NOT_FOUND,,,0,,,,,
802,739-JUI,viva la juicy gold couture juicy couture,JUI,,NOT_FOUND,,,0,,,,,
801,738-JUI,viva la juicy couture,JUI,,NOT_FOUND,,,0,,,,,
800,737-JUI,juicy couture malibu juicy couture arwma,JUI,,NOT_FOUND,,,0,,,,,
799,736-JUI,couture couture juicy couture,JUI,,NOT_FOUND,,,0,,,,,
791,727-JEN,jluxe jennifer lopez,JEN,,NOT_FOUND,,,0,,,,,
765,696-GLA,fidji eau de toilette guy laroche,GLA,,NOT_FOUND,,,0,,,,,
764,695-GUE,dare guess,GUE,,NOT_FOUND,,,0,,,,,
753,678-GUC,Guilty,GUC,Gucci,NOT_FOUND,,,0,,,,,
749,673-GRS,cabotin gres,GRS,,NOT_FOUND,,,0,,,,,
721,639-FEN,fendi woman,FEN,,NOT_FOUND,,,0,,,,,
704,621-EST,BR.GOD. SUMMER LIM.EDITION - ESTEE LAUDER,EST,Estee Lauder,NOT_FOUND,,,0,,,,,
696,612-ESC,turquoise escada,ESC,b fresh,NOT_FOUND,,,0,,,,,
683,595-EMIL,EMILIO PUCCI,EMIL,,NOT_FOUND,,,0,,,,,
666,577-DON,CASHMERE MIST - DKNY,DON,Donna Karan,NOT_FOUND,,,0,,,,,
659,570-DOL,(RED CUP),DOL,Dolce&Gabbana,NOT_FOUND,,,0,,,,,
589,493-CER,the aromatic notes of 1881 CERRUTI FOR WOMEN,CER,Cerruti,NOT_FOUND,,,0,,,,,
518,411-BOD,WHITE MUSK - BODY SHOP,BOD,,NOT_FOUND,,,0,,,,,
336,1259-SHU,old spice shulton company,SHU,,NOT_FOUND,,,0,,,,,
328,1251-ROM,,ROM,,NOT_FOUND,,,0,,,,,
305,1224-APO,SCULPTURE - NIKOS APOSTOLOPOULOS,APO,,NOT_FOUND,,,0,,,,,
231,1141-GIV,P,GIV,Givenchy,NOT_FOUND,,,0,,,,,
211,1118-FAB,brut 1964 faberge,FAB,,NOT_FOUND,,,0,,,,,
201,1110-DSQ,black potion dsquared,DSQ,,NOT_FOUND,,,0,,,,,
