shobi_code,brand,perfume,result,fragrantica_id,fragrantica_url,candidate_brand,candidate_perfume,score,provider,note
2224-ARM,Giorgio Armani,DIAMONDS WOMAN,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2216-DOL,Dolce Gabbana,Devotion-eau-de-,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2169-ROJ,Roja Parfums,TI AMO - ROJA DOVE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2230-VAR,John Varvatos,Dark Rebel,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2163-SNI,Snif,Dead Dinosaur,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2202-ROJ,Roja Parfums,ISOLA BLU - ROJA DOVE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2164-LAT,Lattafa,KHAMRAH - LATTAFA Inspired Perfume,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2198-MNT,Montale,WOOD ON FIRE - MONTALE Inspired Perfume,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2183-MIY,Miu Miu,Miu-miu-fleur-de-lait,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2178-MON,moncler,pour Homme,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2165-KAY,Kayali,Vanilla-royale-sugared-patchouli-64,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
887-RCAV,Roberto Cavalli,Roberto Cavalli Acqua,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2174-ZIE,zielinski-rozen,Vanilla-blend,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1771-EMAN,Emanuel Ungaro,Desnuda,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2175-ESCE,Escentric Molecules,Molecule-01-mandarin,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
