shobi_code,prestashop_product_id,shobi_inspired_by,classification,reason,match_type,corpus_status,candidate_count,candidate_fids,candidate_urls,refined_status,refined_candidates,refined_urls
1494-BOD,,RED MUSK OUD,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,,STILL_NO_MATCH,,
1526-AL HAR,,MUKHALLAT AL EMIRATES,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,,STILL_NO_MATCH,,
1534-SWI,,SWISS ARMY VICTORINOX,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,,STILL_NO_MATCH,,
1550-YAN,2331,HOME SWEET HOME - YANKEE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,HOME_NO_PERFUME,,
1629-AL HAR,,MUSK MALIKI,NOT_FOUND,NO_CORPUS_CODE_MATCH,,MULTIPLE_EXACT,2,48224|70385,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Musk-Maliki-48224.html|https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Musk-Maliki-70385.html,REFINED_REVIEW,48224:1.000|70385:1.000|19953:0.940|3902:0.769|3904:0.741,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Musk-Maliki-48224.html|https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Musk-Maliki-70385.html|https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Musk-19953.html|https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Mubakhar-Maliki-3902.html|https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Mukhamria-Maliki-3904.html
1748-BYR,2602,Marijuana,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,REFINED_REVIEW,31661:0.940|8801:0.940|75424:0.940|9790:0.940|9791:0.940,https://www.fragrantica.com/perfume/Ariana-Grande/Ari-31661.html|https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Toskovat/A-75424.html|https://www.fragrantica.com/perfume/Adolfo-Dominguez/U-9790.html|https://www.fragrantica.com/perfume/Adolfo-Dominguez/U-9791.html
1781-LAC,,TOUCH OF SUN,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,,STILL_NO_MATCH,,
1869-DOL,,BY,NOT_FOUND,NO_CORPUS_CODE_MATCH,,MULTIPLE_EXACT,2,489|490,https://www.fragrantica.com/perfume/Dolce-Gabbana/By-489.html|https://www.fragrantica.com/perfume/Dolce-Gabbana/By-490.html,REFINED_REVIEW,489:1.000|490:1.000|56358:0.940|62311:0.940|89373:0.940,https://www.fragrantica.com/perfume/Dolce-Gabbana/By-489.html|https://www.fragrantica.com/perfume/Dolce-Gabbana/By-490.html|https://www.fragrantica.com/perfume/Dolce-Gabbana/K-by-Dolce-Gabbana-56358.html|https://www.fragrantica.com/perfume/Dolce-Gabbana/K-by-Dolce-Gabbana-Eau-de-Parfum-62311.html|https://www.fragrantica.com/perfume/Dolce-Gabbana/K-by-Dolce-Gabbana-Eau-de-Parfum-Intense-89373.html
1955-LAP,,CELLULAR ENERGIZING,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,,REFINED_REVIEW,8801:0.940|34189:0.940|75424:0.940|9790:0.940|9791:0.940,https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Natura/Z-34189.html|https://www.fragrantica.com/perfume/Toskovat/A-75424.html|https://www.fragrantica.com/perfume/Adolfo-Dominguez/U-9790.html|https://www.fragrantica.com/perfume/Adolfo-Dominguez/U-9791.html
2085-CLIV,3455,X NEROLI LIMITED EDITION - CLIVE CHRISTIAN,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,STILL_NO_MATCH,,
2133-FRE,3567,Lipstick Rose Eau de Parfum,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,,REFINED_REVIEW,2799:1.000|2799:1.000|52127:0.940|52127:0.940|126845:0.940,https://www.fragrantica.com/perfume/Frederic-Malle/Lipstick-Rose-2799.html|https://www.fragrantica.com/perfume/Frederic-Malle-Editions-de-Parfums/Lipstick-Rose-2799.html|https://www.fragrantica.com/perfume/Frederic-Malle/Lipstick-Rose-Limited-Edition-2018-52127.html|https://www.fragrantica.com/perfume/Frederic-Malle-Editions-de-Parfums/Lipstick-Rose-Limited-Edition-2018-52127.html|https://www.fragrantica.com/perfume/Frederic-Malle-Editions-de-Parfums/Lipstick-Rose-Hair-Mist-126845.html
2172-SWISA,,KASHKHA,NOT_FOUND,NO_CORPUS_CODE_MATCH,,MULTIPLE_EXACT,2,19456|21625,https://www.fragrantica.com/perfume/Swiss-Arabian/Kashkha-19456.html|https://www.fragrantica.com/perfume/Arabian-Oud/Kashkha-21625.html,REFINED_REVIEW,19456:1.000|21625:1.000|8801:0.940|46843:0.940|54144:0.940,https://www.fragrantica.com/perfume/Swiss-Arabian/Kashkha-19456.html|https://www.fragrantica.com/perfume/Arabian-Oud/Kashkha-21625.html|https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Natura/K-46843.html|https://www.fragrantica.com/perfume/Swiss-Arabian/Kashkha-CPO-54144.html
2282-DRC,3915,Dioriviera Eau de Parfum,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,,REFINED_STRONG,81847:1.000|29353:0.778,https://www.fragrantica.com/perfume/Dior/Dioriviera-81847.html|https://www.fragrantica.com/perfume/Dior/Diorever-29353.html
2313-DRC,,SAUVAGE PARFUM 2019,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,,REFINED_REVIEW,56324:1.000|14811:0.940|43977:0.940|31861:0.940|114984:0.940,https://www.fragrantica.com/perfume/Dior/Sauvage-Parfum-56324.html|https://www.fragrantica.com/perfume/Dior/Eau-Sauvage-Parfum-14811.html|https://www.fragrantica.com/perfume/Dior/Eau-Sauvage-Parfum-2017-43977.html|https://www.fragrantica.com/perfume/Dior/Sauvage-31861.html|https://www.fragrantica.com/perfume/Dior/Sauvage-Parfum-Into-The-Wild-114984.html
2438-KYLJE,,COSMIC,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,,REFINED_REVIEW,55451:1.000|12288:0.940|8801:0.940|32535:0.940|106866:0.940,https://www.fragrantica.com/perfume/Agent-Provocateur/Cosmic-55451.html|https://www.fragrantica.com/perfume/Britney-Spears/Cosmic-Radiance-12288.html|https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/DS-Durga/El-Cosmico-32535.html|https://www.fragrantica.com/perfume/French-Avenue/COSMIC-TONKA-106866.html
2586-DIP,4367,Biscuit DIP,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,HOME_NO_PERFUME,,
2701-DIP,4640,Cafe Verlet,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,HOME_NO_PERFUME,,
2816-MOOD,5083,Blonde Maracuja Mood London,NOT_FOUND,NO_FOUND_ID_FOR_CODE,CONFIRMED_MAPPING_ONLY,NO_MATCH,0,,,REFINED_REVIEW,813:0.940|8801:0.940|45886:0.940|18883:0.940|1412:0.940,https://www.fragrantica.com/perfume/Burberry/London-813.html|https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Roja-Dove/London-45886.html|https://www.fragrantica.com/perfume/Tom-Ford/London-18883.html|https://www.fragrantica.com/perfume/Versace/Blonde-1412.html
,2688,Danat Al Duniya Eau de Parfum,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,,REFINED_REVIEW,8801:0.940|34188:0.940|100:0.940|75424:0.940|9790:0.940,https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Natura/Y-34188.html|https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-100.html|https://www.fragrantica.com/perfume/Toskovat/A-75424.html|https://www.fragrantica.com/perfume/Adolfo-Dominguez/U-9790.html
