shobi_code,prestashop_product_id,shobi_inspired_by,classification,reason,fragrantica_id,fragrantica_brand,fragrantica_perfume,fragrantica_url,match_type,score,identity_score,identity_gate
146-MEM,1410,Russian-leather-eau-de-,VERIFIED,EXACT_PERFUME_BRAND_TEXT,40544,Memo Paris,Russian Leather,https://www.fragrantica.com/perfume/Memo-Paris/Russian-Leather-40544.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
147-NAS,2237,Pardon,VERIFIED,CONFIRMED_IDENTITY_EXACT_CORPUS,12130,Nasomatto,Pardon,https://www.fragrantica.com/perfume/Nasomatto/Pardon-12130.html,CONFIRMED_IDENTITY_EXACT_CORPUS,1.0000,1.0000,PASS
148-PARF,1411,Athalia,VERIFIED,EXACT_BRAND_CLEAN_NAME,36539,Parfums de Marly,Athalia,https://www.fragrantica.com/perfume/Parfums-de-Marly/Athalia-36539.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
149-PARF,1412,CARLISLE (U) - PARFUMS DE MARLY,VERIFIED,EXACT_BRAND_CLEAN_NAME,33514,Parfums de Marly,Carlisle,https://www.fragrantica.com/perfume/Parfums-de-Marly/Carlisle-33514.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
150-PARF,2122,Cassili,VERIFIED,EXACT_PERFUME_BRAND_TEXT,54660,Parfums de Marly,Cassili,https://www.fragrantica.com/perfume/Parfums-de-Marly/Cassili-54660.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
151-PARF,2229,Delina,VERIFIED,EXACT_PERFUME_BRAND_TEXT,43871,Parfums de Marly,Delina,https://www.fragrantica.com/perfume/Parfums-de-Marly/Delina-43871.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
152-PARF,2057,Delina Exclusif,VERIFIED,EXACT_PERFUME_BRAND_TEXT,50370,Parfums de Marly,Delina Exclusif,https://www.fragrantica.com/perfume/Parfums-de-Marly/Delina-Exclusif-50370.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
153-PARF,,HEROD,VERIFIED,WEB_VERIFIED_FRAGRANTICA,4323,,,https://www.fragrantica.com/perfume/By-Kilian/Straight-to-Heaven-4323.html,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
154-PARF,1786,Layton,VERIFIED,EXACT_PERFUME_BRAND_TEXT,39314,Parfums de Marly,Layton,https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-39314.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
155-PARF,2230,Layton Exclusif,VERIFIED,EXACT_PERFUME_BRAND_TEXT,46633,Parfums de Marly,Layton Exclusif,https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-Exclusif-46633.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
156-PARF,1413,OAJAN (U) - Parfums de Marly,VERIFIED,EXACT_BRAND_CLEAN_NAME,21548,Parfums de Marly,Oajan,https://www.fragrantica.com/perfume/Parfums-de-Marly/Oajan-21548.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
157-PARF,2120,Pegasus,VERIFIED,EXACT_PERFUME_BRAND_TEXT,16938,Parfums de Marly,Pegasus,https://www.fragrantica.com/perfume/Parfums-de-Marly/Pegasus-16938.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
158-PARF,2228,Percival,VERIFIED,EXACT_PERFUME_BRAND_TEXT,51037,Parfums de Marly,Percival,https://www.fragrantica.com/perfume/Parfums-de-Marly/Percival-51037.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
159-PARF,2125,Safanad,VERIFIED,EXACT_PERFUME_BRAND_TEXT,18749,Parfums de Marly,Safanad,https://www.fragrantica.com/perfume/Parfums-de-Marly/Safanad-18749.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
160-PEN,2094,BEWITCHING YASMINE,VERIFIED,SAFE_TOKEN_SAME_BRAND,46504,Penhaligon s,The Bewitching Yasmine,https://www.fragrantica.com/perfume/Penhaligon-s/The-Bewitching-Yasmine-46504.html,SAFE_TOKEN_SAME_BRAND,0.9560,1.0000,PASS
161-PEN,2233,Cairo,VERIFIED,EXACT_BRAND_CLEAN_NAME,54665,Penhaligon s,Cairo,https://www.fragrantica.com/perfume/Penhaligon-s/Cairo-54665.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
162-PEN,2092,Endymion Concentre,VERIFIED,EXACT_BRAND_CLEAN_NAME,38352,Penhaligon s,Endymion Concentre,https://www.fragrantica.com/perfume/Penhaligon-s/Endymion-Concentre-38352.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
163-PEN,2093,Halfeti-eau-de-,VERIFIED,EXACT_BRAND_CLEAN_NAME,31396,Penhaligon s,Halfeti,https://www.fragrantica.com/perfume/Penhaligon-s/Halfeti-31396.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
164-PEN,2240,Halfeti-leather,VERIFIED,EXACT_BRAND_CLEAN_NAME,61523,Penhaligon s,Halfeti Leather,https://www.fragrantica.com/perfume/Penhaligon-s/Halfeti-Leather-61523.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
165-PEN,2140,The-tragedy-of-lord-george-eau-de-,VERIFIED,EXACT_BRAND_CLEAN_NAME,40716,Penhaligon s,The Tragedy of Lord George,https://www.fragrantica.com/perfume/Penhaligon-s/The-Tragedy-of-Lord-George-40716.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
166-AZ,2096,Sequoia Wood Eau de Parfum,VERIFIED,WEB_VERIFIED_FRAGRANTICA,40007,,,https://www.fragrantica.com/perfume/The-Perfumer-s-Story-by-Azzi/Sequoia-Wood-40007.html,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
167-RAS,1414,Daarej pour Homme Eau de Parfum,VERIFIED,WEB_VERIFIED_FRAGRANTICA,19688,Rasasi,Daarej pour Homme,https://www.fragrantica.com/perfume/Rasasi/Daarej-19688.html,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
168-RAS,1415,Daarej for Women Rasasi,VERIFIED,WEB_VERIFIED_FRAGRANTICA,19687,Rasasi,Daarej pour Femme,https://www.fragrantica.com/perfume/Rasasi/Dareej-19687.html,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
169-ROJ,2234,BRITANNIA - ROJA DOVE,VERIFIED,WEB_VERIFIED_FRAGRANTICA,38675,Roja Dove,Britannia,https://www.fragrantica.com/p/38675,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
170-ROJ,2235,ENIGMA WOMAN - ROJA DOVE,VERIFIED,WEB_VERIFIED_FRAGRANTICA,20558,,,https://www.fragrantica.com/perfume/Roja-Dove/Enigma-20558.html,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
171-DUP,2204,Souvenirs De Malles Oud Oriental,VERIFIED,WEB_VERIFIED_FRAGRANTICA,21459,,,https://www.fragrantica.com/perfume/S-T-Dupont/Dupont-Oud-Oriental-21459.html,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
172-SHALM,2084,Moroccan-musk,VERIFIED,WEB_VERIFIED_FRAGRANTICA,47982,,,https://www.fragrantica.com/perfume/Scent-Salim/Moroccan-Musk-47982.html,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
