shobi_code,shobi_name,old_classification,old_brand_hint,old_brand_source,old_cand1_id,fallback_classification,fallback_margin,cand1_id,cand1_brand,cand1_name,cand1_score,cand1_url,cand2_id,cand2_brand,cand2_name,cand2_score,cand2_url,cand3_id,cand3_brand,cand3_name,cand3_score,cand3_url,cand4_id,cand4_brand,cand4_name,cand4_score,cand4_url,cand5_id,cand5_brand,cand5_name,cand5_score,cand5_url
824-MIC,Gold Collection  White Luminous Gold,NO_CANDIDATE,Michael Kors,verified_suffix,68626,GLOBAL_WEAK,0.0000,108858,Carlo Corinto,White Gold,0.6667,https://www.fragrantica.com/perfume/Carlo-Corinto/White-Gold-108858.html,23822,Al Jazeera Perfumes,White Gold,0.6667,https://www.fragrantica.com/perfume/Al-Jazeera-Perfumes/White-Gold-23822.html,26886,Ajmal,Jaathbia Collection White Musk,0.6462,https://www.fragrantica.com/perfume/Ajmal/Jaathbia-Collection-White-Musk-26886.html,,,,,,,,,,
843-NRO,FOR HER PINK EAU DE TOILETTE - RODRIGUEZ,WEAK_REVIEW,Narciso Rodriguez,verified_suffix,72604,GLOBAL_WEAK,0.0214,19050,Givenchy,Play For Her Eau de Toilette,0.8214,https://www.fragrantica.com/perfume/Givenchy/Play-For-Her-Eau-de-Toilette-19050.html,109004,Fragrance World,Redriguez for Her Pink,0.8000,https://www.fragrantica.com/perfume/Fragrance-World/Redriguez-for-Her-Pink-109004.html,71379,Burberry,Burberry Her Eau de Toilette,0.7500,https://www.fragrantica.com/perfume/Burberry/Burberry-Her-Eau-de-Toilette-71379.html,48517,Hugo Boss,Boss The Scent for Her Eau de Toilette,0.6970,https://www.fragrantica.com/perfume/Hugo-Boss/Boss-The-Scent-for-Her-Eau-de-Toilette-48517.html,72604,Narciso Rodriguez,Narciso Rodriguez For Her Pink Edition,0.6667,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Rodriguez-For-Her-Pink-Edition-72604.html
850-NIN,L'AIR DU TEMPS,NO_CANDIDATE,Nina Ricci,code_signature,83150,GLOBAL_WEAK,0.0000,133310,Bontemps Paris,Amoureux du temps,0.7097,https://www.fragrantica.com/perfume/Bontemps-Paris/Amoureux-du-temps-133310.html,89022,Camille Leguay,La Nuit des Temps,0.7097,https://www.fragrantica.com/perfume/Camille-Leguay/La-Nuit-des-Temps-89022.html,,,,,,,,,,,,,,,
851-NIN,L Extase,NO_CANDIDATE,Nina Ricci,code_signature,83150,GLOBAL_WEAK,0.7368,4671,Giorgio Armani,Onde Extase,0.7368,https://www.fragrantica.com/perfume/Giorgio-Armani/Onde-Extase-4671.html,,,,,,,,,,,,,,,,,,,,
852-NIN,Luna,NO_CANDIDATE,Nina Ricci,code_signature,,GLOBAL_WEAK,0.0000,97684,MAISON ASRAR,Luna,1.0000,https://www.fragrantica.com/perfume/MAISON-ASRAR/Luna-97684.html,124243,AMD Perfumes,Luna,1.0000,https://www.fragrantica.com/perfume/AMD-Perfumes/Luna-124243.html,38351,Penhaligon s,Luna,1.0000,https://www.fragrantica.com/perfume/Penhaligon-s/Luna-38351.html,106477,Anfar 1950,Luna,1.0000,https://www.fragrantica.com/perfume/Anfar-1950/Luna-106477.html,83045,Aaron Terence Hughes,Luna,1.0000,https://www.fragrantica.com/perfume/Aaron-Terence-Hughes/Luna-83045.html
853-NIN,NINA,WEAK_REVIEW,Nina Ricci,code_signature,83150,GLOBAL_STRONG,0.3333,84711,Ascania,Nina Nina,1.0000,https://www.fragrantica.com/perfume/Ascania/Nina-Nina-84711.html,83150,Nina Ricci,Nina Le Parfum,0.6667,https://www.fragrantica.com/perfume/Nina-Ricci/Nina-Le-Parfum-83150.html,,,,,,,,,,,,,,,
892-RCAV,JUST HER - ROBERTO CAVALLI,WEAK_REVIEW,,,5659,GLOBAL_WEAK,0.0632,5659,Avon,Just Play for Her,0.8000,https://www.fragrantica.com/perfume/Avon/Just-Play-for-Her-5659.html,104698,Fragrance World,Just Lychee,0.7368,https://www.fragrantica.com/perfume/Fragrance-World/Just-Lychee-104698.html,26810,Alta Moda,Just Bleu,0.7059,https://www.fragrantica.com/perfume/Alta-Moda/Just-Bleu-26810.html,18635,Avon,Just Move,0.7059,https://www.fragrantica.com/perfume/Avon/Just-Move-18635.html,139239,Marc Jacobs,Just Perfect,0.7000,https://www.fragrantica.com/perfume/Marc-Jacobs/Just-Perfect-139239.html
893-RCAV,NERO ASSOLUTO - CAVALLI,WEAK_REVIEW,,,104577,GLOBAL_WEAK,0.0179,104577,Alberto Allegretti,Vetiver Assoluto,0.7586,https://www.fragrantica.com/perfume/Alberto-Allegretti/Vetiver-Assoluto-104577.html,41151,Tiziana Terenzi,Dubhe Assoluto,0.7407,https://www.fragrantica.com/perfume/Tiziana-Terenzi/Dubhe-Assoluto-41151.html,36704,Tiziana Terenzi,Tyl Assoluto,0.7200,https://www.fragrantica.com/perfume/Tiziana-Terenzi/Tyl-Assoluto-36704.html,46232,Acqua del Garda,Gelsomino Assoluto,0.7097,https://www.fragrantica.com/perfume/Acqua-del-Garda/Gelsomino-Assoluto-46232.html,91984,Culti,Tabacco Assoluto,0.6897,https://www.fragrantica.com/perfume/Culti/Tabacco-Assoluto-91984.html
894-RCAV,Paradiso,WEAK_REVIEW,,,74932,GLOBAL_WEAK,0.0000,84286,AzherOud,Paradiso,1.0000,https://www.fragrantica.com/perfume/AzherOud/Paradiso-84286.html,119667,Dermacol,Paradiso,1.0000,https://www.fragrantica.com/perfume/Dermacol/Paradiso-119667.html,30395,Bi es,Paradiso,1.0000,https://www.fragrantica.com/perfume/Bi-es/Paradiso-30395.html,74932,AzherOud,Paradiso,1.0000,https://www.fragrantica.com/perfume/AzherOud/Paradiso-74932.html,139647,Bottega Verde,Torta Paradiso,0.7273,https://www.fragrantica.com/perfume/Bottega-Verde/Torta-Paradiso-139647.html
895-RCAV,SERPENTINE - CAVALLI,WEAK_REVIEW,,,24924,GLOBAL_WEAK,0.0000,24924,Comme des Garcons,Serpentine,1.0000,https://www.fragrantica.com/perfume/Comme-des-Garcons/Serpentine-24924.html,95364,Sorce,Serpentine,1.0000,https://www.fragrantica.com/perfume/Sorce/Serpentine-95364.html,,,,,,,,,,,,,,,
